id,object,area,perimeter,height,width,dist,formfactor,aspect_ratio
84,tear,818,210,68.0,37.0,1.4333201212841082,0.23309050255205904,0.5441176470588235
83,tear,816,204,74.0,26.0,1.434530834251631,0.24639942381096416,0.35135135135135137
88,peg,820,245,58.0,48.0,1.4495384099448982,0.17166886970053347,0.8275862068965517
85,tear,814,222,62.0,49.0,1.4506507357258507,0.20755266780473108,0.7903225806451613
80,tear,799,180,74.0,11.0,1.4632575396837706,0.3098929049652154,0.14864864864864866
81,peg,785,242,58.0,37.0,1.5351639791897693,0.16844137921371408,0.6379310344827587
76,tear,765,223,47.0,65.0,1.5748827400284304,0.1933132280959755,1.3829787234042554
78,peg,768,241,60.0,38.0,1.5779382690670893,0.16616402320600274,0.6333333333333333
73,tear,757,205,66.0,37.0,1.5840291739091605,0.2263591327797714,0.5606060606060606
75,peg,752,225,34.0,58.0,1.6097783341481107,0.186664902755518,1.7058823529411764
72,tear,742,219,55.0,55.0,1.6321494904182214,0.19441310639591555,1.0
52,tear,711,172,14.0,69.0,1.6846678683767389,0.3020108675909063,4.928571428571429
64,peg,705,225,33.0,57.0,1.734443259017556,0.1749983463332981,1.7272727272727273
67,peg,692,247,52.0,51.0,1.782379312165871,0.14253517456664666,0.9807692307692308
60,peg,685,245,54.0,37.0,1.8004373858140512,0.14340631188398226,0.6851851851851852
71,keycap_ext,682,279,48.0,46.0,1.8247875520114667,0.11009962306487524,0.9583333333333334
51,keycap_ext,643,274,54.0,30.0,1.9309654054491066,0.1076266224230506,0.5555555555555556
34,peg,632,234,54.0,35.0,1.9426294676198166,0.14504248353194166,0.6481481481481481
54,keycap_ext,640,282,36.0,54.0,1.9426483369538385,0.10113270450668817,1.5
47,keycap_ext,637,279,50.0,40.0,1.9499363483910916,0.10283498517936296,0.8
48,keycap_ext,636,281,51.0,37.0,1.9535543835797564,0.10121720483190984,0.7254901960784313
40,keycap_ext,611,273,35.0,53.0,2.0217518386591733,0.10302100451332306,1.5142857142857142
38,keycap_ext,605,278,56.0,29.0,2.041072015409635,0.09837293905190336,0.5178571428571429
31,keycap_ext,599,263,30.0,53.0,2.052299058884106,0.10882412638611436,1.7666666666666666
177,card,3448,272,80.0,55.0,2.121664542277155,0.5856515716683395,0.6875
28,keycap_ext,576,271,52.0,29.0,2.1231271371119727,0.09855842749786743,0.5576923076923077
